Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,,PDFBOX-2865,"Downgrade logging ""Using last-resort fallback for x font"" to warn in 2.0.0?",Unassigned,Tim Allison,Minor,Closed,Fixed,7/8/2015 20:03,3/17/2016 19:07,
Bug,,PDFBOX-2866,getDocumentCatalog() returns no results,Tilman Hausherr,Joseph Jezerinac,Major,Closed,Not A Problem,7/9/2015 3:07,7/9/2015 4:40,
Bug,,PDFBOX-2867,Correct use of Float.NaN,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,7/9/2015 18:03,7/23/2015 6:35,
Bug,,PDFBOX-2868,NPE in Acroform getValueAsString,Maruan Sahyoun,Tim Allison,Minor,Closed,Fixed,7/10/2015 12:08,3/17/2016 19:07,
Bug,,PDFBOX-2869,Corruption in ScratchFileBuffer,Andreas Lehmkühler,Jesse Long,Major,Closed,Fixed,7/10/2015 15:05,3/17/2016 19:06,
Improvement,,PDFBOX-2870,Use animal sniffer maven plugin to detect non java 6 api usage,Andreas Lehmkühler,Andreas Lehmkühler,Major,Closed,Fixed,7/10/2015 17:42,3/17/2016 19:07,
Bug,,PDFBOX-2871,Performance issue when filling the first PDTextField of an AcroForm,John Hewson,Maruan Sahyoun,Critical,Closed,Fixed,7/11/2015 6:08,3/17/2016 19:08,
Bug,,PDFBOX-2872,Matrix.toCOSArray() has constant return,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,7/12/2015 14:57,3/17/2016 19:07,
Improvement,,PDFBOX-2873,Make bitfields public in PDField like in PDAnnotation,Unassigned,Roberto Nibali,Minor,Closed,Not A Problem,7/12/2015 20:50,7/13/2015 8:42,
Task,,PDFBOX-2874,Publish pre-release versions before 2.0.0 release.,Unassigned,Pei-Tang Huang,Major,Closed,Invalid,7/13/2015 1:08,7/13/2015 1:19,
Bug,,PDFBOX-2875,Type 1 fonts are embedded incorrectly,John Hewson,John Hewson,Major,Closed,Fixed,7/13/2015 5:37,3/17/2016 19:07,
Bug,,PDFBOX-2876,Better support for embedding of simple TrueType fonts,John Hewson,John Hewson,Major,Closed,Fixed,7/13/2015 6:49,3/17/2016 19:06,
Sub-task,,PDFBOX-2877,PDFBOX-2333 Wrong text placement for autosize fields compared to Adobe generated,Maruan Sahyoun,Maruan Sahyoun,Major,Closed,Fixed,7/13/2015 8:49,7/20/2015 20:36,
Improvement,,PDFBOX-2878,Align annotation and form public API,Unassigned,Maruan Sahyoun,Major,Closed,Fixed,7/13/2015 8:58,3/17/2016 19:07,
Bug,,PDFBOX-2879,Wrong vertical text extraction for apache PDFBox 2.0.0,Unassigned,Andreas Meier,Minor,Closed,Duplicate,7/13/2015 12:37,7/13/2015 16:38,
Improvement,,PDFBOX-2880,Allow Type 1 embedding without AFM file,John Hewson,John Hewson,Major,Closed,Fixed,7/13/2015 19:27,3/17/2016 19:07,
Bug,,PDFBOX-2881,Radial and Axial shading steps are calculated incorrectly,John Hewson,John Hewson,Major,Closed,Fixed,7/14/2015 21:52,3/17/2016 19:07,
Improvement,,PDFBOX-2882,Improve performance when using scratch file,Timo Boehme,Timo Boehme,Blocker,Closed,Fixed,7/14/2015 22:25,3/17/2016 19:06,
Improvement,,PDFBOX-2883,Unify memory handling,Timo Boehme,Timo Boehme,Major,Closed,Fixed,7/15/2015 10:38,3/17/2016 19:06,
Bug,,PDFBOX-2884,NPE in FontMapper.getFont(),John Hewson,Tilman Hausherr,Major,Closed,Fixed,7/15/2015 16:27,3/17/2016 19:07,
Bug,,PDFBOX-2885,NPE in PDNonTerminalField.getChildren(),John Hewson,Tilman Hausherr,Major,Closed,Fixed,7/15/2015 16:30,3/17/2016 19:07,
Bug,,PDFBOX-2886,"""IllegalArgumentException root cannot be null"" in 2.0.0 for file that was parsed in 1.8.x",Andreas Lehmkühler,Tim Allison,Trivial,Closed,Fixed,7/16/2015 19:48,3/17/2016 19:06,
Bug,,PDFBOX-2887,NPE in PDFXrefStreamParser in 2.0 trunk,Unassigned,Tim Allison,Trivial,Closed,Fixed,7/16/2015 19:55,3/17/2016 19:08,
