Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,PDFBOX-3003,Incorrect color space processing for inline images,Tilman Hausherr,Evgeniy Muravitskiy,Major,Closed,Fixed,10/1/2015 15:23,3/17/2016 19:07,
Bug,,PDFBOX-3004,PDF fulltext index fails.,Unassigned,Arkady Zalkowitsch,Major,Closed,Not A Problem,10/2/2015 16:37,10/2/2015 19:59,
Bug,,PDFBOX-3005,Incorrect property names for lists,Maruan Sahyoun,Evgeniy Muravitskiy,Major,Closed,Fixed,10/5/2015 12:45,3/17/2016 19:08,
Bug,,PDFBOX-3006,Resource leak in 2.0-SNAPSHOT in PDDocument.load(File...),Unassigned,Tim Allison,Major,Closed,Fixed,10/5/2015 21:15,3/17/2016 19:42,
Improvement,,PDFBOX-3007,Preflight cookbook example is inefficient,Andreas Lehmkühler,Tilman Hausherr,Minor,Closed,Fixed,10/6/2015 16:43,1/18/2016 12:01,
Bug,,PDFBOX-3008,Memory leak in preflight,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/6/2015 18:06,3/17/2016 19:07,
Task,,PDFBOX-3009,Unimplemented encoding method in PDCIDFontType0,Unassigned,Ch. Schlatter,Minor,Open,Unresolved,10/7/2015 16:11,10/8/2015 7:00,
Bug,,PDFBOX-3010,SignatureOptions object must not be closed before calling saveIncremental in trunk's CreateVisibleSignature example,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/7/2015 19:31,5/6/2016 10:20,
Task,,PDFBOX-3011,Find out why trunk CreateVisibleSignature example produces incorrect output pdf,Tilman Hausherr,Rafael Gomez,Major,Closed,Fixed,10/8/2015 9:10,3/17/2016 19:08,
Bug,,PDFBOX-3012,PDAcroForm flatten() throws ClassCastException,Maruan Sahyoun,Jason Mackin,Major,Closed,Fixed,10/8/2015 22:26,3/17/2016 19:07,
Bug,,PDFBOX-3013,Incorrect accordance between attributes and properties,Unassigned,Evgeniy Muravitskiy,Major,Closed,Fixed,10/9/2015 13:40,3/17/2016 19:07,
Bug,,PDFBOX-3014,ZapfDingbats not finding a substitute in Windows 8.1 Pro,Tilman Hausherr,Jason Mackin,Major,Closed,Fixed,10/9/2015 15:44,3/17/2016 19:06,
Bug,,PDFBOX-3015,PDICCBased loadICCProfile() throwing ConcurrentModificationException,Unassigned,Jason Mackin,Major,Open,Unresolved,10/9/2015 17:40,11/11/2016 17:44,
New Feature,,PDFBOX-3016,Unimplemented encoding method in PDType1CFont,Unassigned,Maruan Sahyoun,Major,Open,Unresolved,10/9/2015 18:04,10/9/2015 18:15,
Improvement,,PDFBOX-3017,Improve document signing,Unassigned,Tilman Hausherr,Major,Open,Unresolved,10/9/2015 19:07,6/7/2017 15:40,
Bug,,PDFBOX-3018,"IOException ""head is mandatory"" when using getOriginalData() of TT font from TTC file",Andreas Lehmkühler,Tilman Hausherr,Major,Closed,Fixed,10/10/2015 17:41,3/17/2016 19:07,
Bug,,PDFBOX-3019,Unwanted spaces in text extraction,Tilman Hausherr,Ben McCann,Major,Closed,Fixed,10/11/2015 2:37,3/17/2016 19:08,
Task,,PDFBOX-3020,Set libraries to current versions for RC,Tilman Hausherr,Tilman Hausherr,Major,Closed,Fixed,10/12/2015 16:58,3/17/2016 19:07,
Bug,,PDFBOX-3021,Class Cast Exception: COSString -> COSName,Tilman Hausherr,Daniel Scheibe,Major,Closed,Fixed,10/13/2015 9:13,3/17/2016 19:08,
Bug,,PDFBOX-3022,Maven repos should be https,Tilman Hausherr,Ben McCann,Critical,Closed,Fixed,10/13/2015 16:28,11/17/2016 19:17,
